"PIN_id","DPN","Image","Ref_Emdep","Ref_Ingun","Ref_Fenmmital","Ref_Ptr","Type","Multi_APN"
"40","35308379","/pin/35308379.jpg","02P2125GD1","T-001 305 040 400 090 A 0802 M","F176 11B 0001 G080 SP","1010/G-D1042-0.8N-Au-0.4x4.0/0.9","'PIN'",""
"41","35309743","/pin/F731 11B 075 G 100 L.png","02P15G1ND07","GKS-899 355 075 A 1002 M-L41","F731 11B 075 G 100 L","NA","'PIN'",""
"42","35309744","/pin/F732 11B 080 G 100.png","02P21G1ND4","NA","F732 11B 080 G 100","1021/G-D-1.0N-Au-0.8","'PIN'",""
"43","35309745","/pin/F732 11B 0080 G300 SP.png","02P21GD081518","NA","F732 11B 0080 G300 SP","1021/G-D0815-3,0N-Au-0,80×1,5/1,8","'PIN'",""
"44","35309746","/pin/F732 11B 100 G 100 L.png","02P21G1ND3L","NA","F732 11B 100 G 100 L","NA","'PIN'",""
"45","35309747","/pin/35309747.jpg","02P10GD04","GKS-001 305 040 A 0802 M","F176 11B 040 G 080","1010/G-D2-0.8N-Au-0,4","'PIN'",""
"46","35349326","/pin/F732 16B 0093 G 300 SP.png","02P21GF0725","NA","F732 16B 0093 G 300 SP","1021/G-F0725-3.0N-AU-0.7x2.5/1.8","'PIN'",""
"47","35349329","/pin/F732 16B 0099 G 300 SP.png","02P21GF071518","NA","F732 16B 0099 G 300 SP","1021/G-F0715-3.0N-AU-0.7x1.5/1.8","'PIN'",""
"48","35484643","/pin/F731 11B 0017 G 300 SP_1.png","02P15GD063015","T-899 305 065 300 150 A 3002M","F731 11B 0017 G 300 SP","1015/G-D0630-3.0N-Au-0.65x3.0/1.5","'PIN'",""
"49","35501160","/pin/F732 16B 0094 G 300SP.png","02P21GF0730","NA","F732 16B 0094 G 300SP","1021/G-F0730-3.0N-AU-0.7x3.0/1.8","'PIN'",""
"50","35501525","/pin/35501525.jpg","02P21GF0720","NA","F732 16B 0043 G 300SP","1021/G-F0720-3.0N-AU-0.7x2.0/1.8","'PIN'",""
"51","35538966","/pin/35538966.jpg","02P28GYL1L","NA","NA","1021/GV-Y442-1,5N-Au-1,5x0,5","'PIN'",""
"54","10913049","/pin/F733 06B 230 G 300.png","02P60GC","GKS-113 306 230 A 3002 M","F733 06B 230 G 300","1060/G-C-3.0N-Au-2,3","'PIN'","35617320"
"55","35663766","/pin/35663766.jpg","02P21GDL06L","GKS-112 305 065 A 3002 M-LP20-070","F732 11B 064 G 300 LS1","1021/G-D13-3.0N-Au-0.65","'PIN'",""
"57","PTCC0650189","/PTCC0650189.jpg","02L29250756","NA","NA","NA","'TIGE'",""
"58","PTCC0650190","/pin/PTCC0650190.jpg","02L392512565","NA","NA","NA","'TIGE'",""
"59","PTCC0650203","/pin/PTCC0650203.jpg","02L292906565","NA","NA","NA","'TIGE'",""
"60","10913084","/pin/F875 16B 100 G 135.png","02P202GF10","NA","F875 16B 100 G 135","3023/2GS-F-1.35N-AU-1.0","'MICRO'",""
